NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID,tempo_min_minutos,tempo_max_minutos,tempo_min,tempo_max,latitude,longitude,Bairro,bairro
Acclamé Café & Patisserie,4.8,37 comentários,"Av. Viena Weyne, 370 - loja 12 - Cambeba, Fortaleza - CE, 60822-180",Cafeteria,,cafeteria,,,,,,,Cambeba,
Santa Clara Cafeteria Dragão do Mar,4.6,562 comentários,"Dragão do Mar Center of Art and Culture - R. Dragão do Mar, 81 - Praia de Iracema, Fortaleza - CE, 60060-390",$$,"45 min a 1,5 h",cafeteria,45.0,45.0,0 days 00:45:00,0 days 00:45:00,-3.7214824,-38.5201971,Praia De Iracema,
Cafeteria Club Café Rituais - Shopping Iguatemi,3.9,96 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",Cafeteria,,cafeteria,,,,,-3.7554302,-38.4887659,Edson Queiroz,
Bleecker Café - Varjota,4.9,95 comentários,"R. Frederico Borges, 425 - Varjota, Fortaleza - CE, 60175-040",Cafeteria,,cafeteria,,,,,,,Varjota,
The Coffee,4.7,302 comentários,"R. Barbosa de Freitas, 1040 - Aldeota, Fortaleza - CE, 60170-021",Cafeteria,,cafeteria,,,,,-3.7352248,-38.4972494,Aldeota,
Café Jangada Crepe & Tapioca,4.0,12 comentários,"Av. Beira Mar, 2361 - Meireles, Fortaleza - CE, 60165-121",Cafeteria,,cafeteria,,,,,-3.7249226,-38.4992106,Meireles,
Mais1 Café - Fortaleza Centro,4.6,14 comentários,"Av. Santos Dumont, 994 - Centro, Fortaleza - CE, 60150-160",Cafeteria,,cafeteria,,,,,-3.7311355,-38.5146219,Centro,
Yucca Café,4.3,48 comentários,"Rua Frei Mansueto, 160 - Meireles, Fortaleza - CE, 60175-070",Bistrô,,cafeteria,,,,,-3.7260327,-38.489641,Meireles,
Mais1 Café - Aldeota,4.8,15 comentários,"Av. Desembargador Moreira, 1800 - Aldeota, Fortaleza - CE, 60170-002",Cafeteria,,cafeteria,,,,,-3.7418014,-38.5004466,Aldeota,
Confeitaria Sublime,4.5,638 comentários,"R. Eduardo Bezerra, 1276 A - São João do Tauape, Fortaleza - CE, 60130-271",$$,,cafeteria,,,,,,,São João Do Tauape,
"Go Coffee Washington Soares: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",4.9,32 comentários,"Av. Washington Soares, 1500 - Luciano Cavalcante, Fortaleza - CE, 60810-350",Cafeteria,15 min,cafeteria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,,,Luciano Cavalcante,
O Cafeeiro- Coffee & Bakery,3.3,47 comentários,"Av. Santos Dumont, 2284 - Manuel Dias Branco, Fortaleza - CE, 60150-161",Cafeteria,1-2 horas,cafeteria,,,,,-3.7465442,-38.4665719,Manuel Dias Branco,
Grão Café,4.0,3 comentários,"Edificio Medical Center - Rua Coronel Linhares, 950 - Loja 04 - Aldeota, Fortaleza - CE, 60110-260",Cafeteria,,cafeteria,,,,,,,Aldeota,
Café das Artes,4.4,187 comentários,"Anexo Espaço Cultural UNIFOR - Av. Washington Soares, 1321 - Edson Queiroz, Fortaleza - CE, 60811-905",Cafeteria,,cafeteria,,,,,,,Edson Queiroz,
Fantasia Café,,,"Av. Desembargador Moreira, 629 - Meireles, Fortaleza - CE, 60110-120",,,cafeteria,,,,,-3.7318705,-38.4967644,Meireles,
Cafeteria Mio Café,,,"R. Carolina Sucupira, 400 - Aldeota, Fortaleza - CE, 60140-120",,,cafeteria,,,,,-3.7420003,-38.4975116,Aldeota,
Casa Bendita,,,"Av. Rui Barbosa, 888 - Meireles, Fortaleza - CE, 60115-220",,,cafeteria,,,,,-3.7272747,-38.5066087,Meireles,
Café Canela,3.6,7 comentários,"Av. Dom Luís, 1233 - Aldeota, Fortaleza - CE, 60160-110",Café,,cafeteria,,,,,-3.7351836,-38.4897255,Aldeota,
