,NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID
759,Padaria Lorenzo,3.4,10 comentários,"R. Sen. Pompeu, 2354 - Benfica, Fortaleza - CE, 60025-002",Padaria,,padaria
760,Padaia,,,"Rua Tulipa - Barra do Ceará, Fortaleza - CE, 60330-520",,,padaria
761,Romana,,,"R. Major Facundo, 566 - Centro, Fortaleza - CE, 60025-100",$$,25 min a 1 h,padaria
762,Trigobia Comercio De Trigo Ltda,,,"R. Manoel Arruda, 120 - Messejana, Fortaleza - CE, 60842-090",,,padaria
763,Wg Bolos,4.3,10 comentários,"Av. Duque de Caxias, 455A - Centro, Fortaleza - CE, 60035-110",Loja de bolos,,padaria
764,IMPERIO DO BOLO GOURMET,5.0,Um comentário,"R. Barão do Rio Branco, 1308 - Centro, Fortaleza - CE, 60025-060",Loja de bolos,,padaria
765,IMPERIO DO BOLO,4.6,7 comentários,"R. Edgar Borges, 74 - Centro, Fortaleza - CE, 60050-000",Doceria,,padaria
766,Casa do Chocolate,4.5,842 comentários,"Av. Duque de Caxias, 425 - Centro, Fortaleza - CE, 60035-111",Loja,20 min,padaria
767,Lanches,4.5,2 comentários,"R. da Assunção, 25 - Centro, Fortaleza - CE, 60050-010",Cafeteria,,padaria
768,Padaria Benfica,,,"Benfica, Fortaleza - CE, 60020-181",,,padaria
769,Ceiça Bolos,5.0,Um comentário,"Rua Solon Pinheiro, 831 - José Bonifacio, Fortaleza - CE, 60050-040",Loja de bolos,,padaria
770,Chocolates Paloma,4.6,16 comentários,(85) 99944-2291,,,padaria
771,Deliciale_Confeitaria,,,"R. Floriano Peixoto, 171 - Centro, Fortaleza - CE, 60025-130",,,padaria
772,Santa Maria Café,2.8,36 comentários,"(Dentro do Hospital São Camilo) 280, R. Nogueira Acioli - Centro, Fortaleza - CE",Cafeteria,,padaria
773,Mercearia O Bené,3.0,5 comentários,"R. Vinte e Cinco de Março, 150 A - Centro, Fortaleza - CE, 60060-120","Mercado em Fortaleza, Ceará",,padaria
774,Bomboniere,4.0,3 comentários,"R. Pedro Borges, 192 - Centro, Fortaleza - CE, 60055-110",Doceria,,padaria
775,Rei dos Chocolates,,,"R. Pedro Borges, 192 - Centro, Fortaleza - CE, 60055-110",,,padaria
776,kit festa fortaleza ''CACAU FESTA'',1.7,41 comentários,"bela cruz - Farias Brito, Fortaleza - CE, 60011-120",Confeitaria,,padaria
