,NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID
0,Shopping RioMar Fortaleza,4.7,52.356 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",45 min a 3 h,cafeteria
1,Greta Café,4.7,1.094 comentários,"Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102",$$,,cafeteria
2,Bardo Café,4.9,22 comentários,"R. Amélia Benebien, 471 - Papicu, Fortaleza - CE, 60176-010",Cafeteria,,cafeteria
3,"Go Coffee: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",4.6,62 comentários,"R. Pereira Valente, 578 - Meireles, Fortaleza - CE, 60160-250",Cafeteria,10 min,cafeteria
4,Le Pain Le Café | Aldeota,4.4,1.277 comentários,"Rua Professor Dias da Rocha, 670 - Meireles, Fortaleza - CE, 60170-310",$$$,"20 min a 1,5 h",cafeteria
5,Cafeteria Club Café Santa Clara,4.0,25 comentários,"Rua Desembargador Lauro Nogueira, 1500 Piso L2 Quiosque 210 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,,cafeteria
6,Casa Bauducco,4.7,201 comentários,"R. Des. Lauro Nogueira, 1500 - loja 1046 - Papicu, Fortaleza - CE, 60175-055",$$,10 min,cafeteria
7,Café Cultive,4.5,695 comentários,"R. Maria Tomásia, 1276 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,,cafeteria
8,Torra Café,4.8,452 comentários,"Rua Marcos Macêdo, 827 - Aldeota, Fortaleza - CE, 60150-190",Cafeteria,1-2 horas,cafeteria
9,Cafeteria Club Café Santa Clara Reserva da Família - RioMar Fortaleza,4.1,169 comentários,"Pça de Alimentação (Q304 - Rua Desembargador Lauro Nogueira, 1500 - Piso L3, R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,,cafeteria
10,Amika Coffeehouse,4.8,957 comentários,"Av. Desembargador Moreira, 2689 - Dionísio Torres, Fortaleza - CE, 60170-172",$$,"30 min a 1,5 h",cafeteria
11,DOLCE GRÃO Cafeteria,4.5,55 comentários,"Av. Antônio Sales, 3410 - Cocó, Fortaleza - CE, 60810-350",Cafeteria,15-45 min,cafeteria
12,l´espresso café - Livraria Leitura RioMar,4.8,9 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-125",Café,,cafeteria
13,Cafeteria Prosa e Queijos,4.9,40 comentários,"Av. Dr. Aldy Mentor, 430 - Cidade 2000, Fortaleza - CE, 60191-106",Cafeteria,15 min,cafeteria
14,Blend Coffee House,4.6,857 comentários,"R. Sabino Pires, 17 - Aldeota, Fortaleza - CE, 60150-090",$$,45 min a 2 h,cafeteria
15,The Coffee,3.1,8 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,,cafeteria
16,Café 50,4.4,836 comentários,"Av. Beira Mar, 4050 - Mucuripe, Fortaleza - CE, 60165-120",Cafeteria,45 min,cafeteria
17,Mercado do Café (Aldeota),4.2,701 comentários,"R. Maria Tomásia, 531 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,,cafeteria
18,Lugano Fortaleza Jardins,4.4,39 comentários,"Rua Marcos Macêdo, 454 - Aldeota, Fortaleza - CE, 60170-001",Cafeteria,10-45 min,cafeteria
19,Café Senac,4.8,100 comentários,"Av. Desembargador Moreira, 1301 - Aldeota, Fortaleza - CE, 60170-002",$$,,cafeteria
20,pincoffee - Café Rosa - Cafeteria Rosa,4.1,121 comentários,"R. Maria Tomásia, 1262 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,,cafeteria
21,"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,584 comentários,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,"30 min a 1,5 h",cafeteria
22,The Coffee,5.0,22 comentários,"Rua Professor Otávio Lobo, 755 - Loja 25 A - Cocó, Fortaleza - CE, 60192-290",Cafeteria,,cafeteria
23,Milklandia Café,4.1,11 comentários,"Shopping Rio Mar - Papicu, Fortaleza - CE, 60175-055",Cafeteria,,cafeteria
24,"Café Jangada: Cafeteria, Crepes, Tapiocas, Sanduiches, Cuscuz em Fortaleza CE",4.3,12 comentários,"Av. Beira Mar - Meireles, Fortaleza - CE, 60165-122",Cafeteria,,cafeteria
25,Empório Café,4.7,117 comentários,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,,cafeteria
26,Tiamate Coffee,4.5,786 comentários,"R. Floriano Peixoto, 484 - Centro, Fortaleza - CE, 60310-330",$$,25 min a 1 h,cafeteria
27,Cafeteria Santa Clara,4.5,37 comentários,"R. Major Facundo, 500 - Centro, Fortaleza - CE, 60025-100",Cafeteria,,cafeteria
28,Bleecker Café - Aldeota,4.7,536 comentários,"Rua Silva Paulet, 1281 - Aldeota, Fortaleza - CE, 60120-021",$$,25 min a 2 h,cafeteria
29,Nupê Café,4.7,164 comentários,"Rua Coronel Jucá, 537 - Meireles, Fortaleza - CE, 60170-288",$$,,cafeteria
30,Benévolo Café e Gelato,4.6,1.386 comentários,"R. Ana Bilhar, 1083 - Meireles, Fortaleza - CE, 60160-110",$$,"20 min a 1,5 h",cafeteria
31,Oie Cafeteria,4.6,145 comentários,"R. República da Armênia, 1311 - Parque Manibura, Fortaleza - CE, 60821-760",Cafeteria,"15 min a 1,5 h",cafeteria
32,Tipo.cc - Café e Coworking,4.7,204 comentários,"R. José Vilar, 3040 - loja 2 - Dionísio Torres, Fortaleza - CE, 60125-001",Cafeteria,1-3 horas,cafeteria
33,Cafeteria Tres Coraçoes,4.3,3 comentários,"Av. Washington Soares, 85 - 720a - Edson Queiroz, Fortaleza - CE, 60811-900",Cafeteria,,cafeteria
34,Duckbill Fortaleza (Beira Mar),4.2,103 comentários,"Av. Beira Mar, 2500 - Meireles, Fortaleza - CE, 60165-121 - Meireles, Fortaleza - CE, 60165-120",Cafeteria,,cafeteria
35,Café & Company,5.0,2 comentários,"Av. Engenheiro Alberto Sá, 220 - Papicu, Fortaleza - CE, 60175-395",Cafeteria,,cafeteria
36,The Coffee,4.3,9 comentários,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,,cafeteria
37,The Coffee Beira Mar,4.6,111 comentários,"R. Osvaldo Cruz, 28 - Meireles, Fortaleza - CE, 60125-150",$$,,cafeteria
38,Mercado do Café - Benfica,4.2,3.780 comentários,"Rua Padre Francisco Pinto, 186 - Gentilândia, Fortaleza - CE, 60020-290",$$,,cafeteria
39,Nüsse Café,4.2,39 comentários,"R. Maria Tomásia, 521 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,"20 min a 1,5 h",cafeteria
40,Le Pain Le Café (Jardins Open Mall),4.5,285 comentários,"G, Av. Desembargador Moreira, 1031 - Aldeota, Fortaleza - CE, 60160-230",Cafeteria,10 min a 1 h,cafeteria
41,Cafeteria Plaza,4.7,11 comentários,"Av. Santos Dumont, 2626 - Aldeota, Fortaleza - CE, 60150-160",Café,,cafeteria
42,Go Coffee Avenida Padre Antônio Tomás,4.6,16 comentários,"Av. Padre Antônio Tomás, 2080 - Loja 03 - Aldeota, Fortaleza - CE, 60140-160",Cafeteria,,cafeteria
43,Brígida cafeteria,,,"R. Riachuelo, 40 A - Papicu, Fortaleza - CE, 60175-205",,,cafeteria
44,Acclamé Café & Patisserie,4.8,37 comentários,"Av. Viena Weyne, 370 - loja 12 - Cambeba, Fortaleza - CE, 60822-180",Cafeteria,,cafeteria
45,Santa Clara Cafeteria Dragão do Mar,4.6,562 comentários,"Dragão do Mar Center of Art and Culture - R. Dragão do Mar, 81 - Praia de Iracema, Fortaleza - CE, 60060-390",$$,"45 min a 1,5 h",cafeteria
46,Cafeteria Club Café Rituais - Shopping Iguatemi,3.9,96 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",Cafeteria,,cafeteria
47,Bleecker Café - Varjota,4.9,95 comentários,"R. Frederico Borges, 425 - Varjota, Fortaleza - CE, 60175-040",Cafeteria,,cafeteria
48,The Coffee,4.7,302 comentários,"R. Barbosa de Freitas, 1040 - Aldeota, Fortaleza - CE, 60170-021",Cafeteria,,cafeteria
49,Café Jangada Crepe & Tapioca,4.0,12 comentários,"Av. Beira Mar, 2361 - Meireles, Fortaleza - CE, 60165-121",Cafeteria,,cafeteria
50,Mais1 Café - Fortaleza Centro,4.6,14 comentários,"Av. Santos Dumont, 994 - Centro, Fortaleza - CE, 60150-160",Cafeteria,,cafeteria
51,Yucca Café,4.3,48 comentários,"Rua Frei Mansueto, 160 - Meireles, Fortaleza - CE, 60175-070",Bistrô,,cafeteria
52,Mais1 Café - Aldeota,4.8,15 comentários,"Av. Desembargador Moreira, 1800 - Aldeota, Fortaleza - CE, 60170-002",Cafeteria,,cafeteria
53,Confeitaria Sublime,4.5,638 comentários,"R. Eduardo Bezerra, 1276 A - São João do Tauape, Fortaleza - CE, 60130-271",$$,,cafeteria
54,"Go Coffee Washington Soares: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",4.9,32 comentários,"Av. Washington Soares, 1500 - Luciano Cavalcante, Fortaleza - CE, 60810-350",Cafeteria,15 min,cafeteria
55,O Cafeeiro- Coffee & Bakery,3.3,47 comentários,"Av. Santos Dumont, 2284 - Manuel Dias Branco, Fortaleza - CE, 60150-161",Cafeteria,1-2 horas,cafeteria
56,Grão Café,4.0,3 comentários,"Edificio Medical Center - Rua Coronel Linhares, 950 - Loja 04 - Aldeota, Fortaleza - CE, 60110-260",Cafeteria,,cafeteria
57,Café das Artes,4.4,187 comentários,"Anexo Espaço Cultural UNIFOR - Av. Washington Soares, 1321 - Edson Queiroz, Fortaleza - CE, 60811-905",Cafeteria,,cafeteria
58,Fantasia Café,,,"Av. Desembargador Moreira, 629 - Meireles, Fortaleza - CE, 60110-120",,,cafeteria
59,Cafeteria Mio Café,,,"R. Carolina Sucupira, 400 - Aldeota, Fortaleza - CE, 60140-120",,,cafeteria
60,Casa Bendita,,,"Av. Rui Barbosa, 888 - Meireles, Fortaleza - CE, 60115-220",,,cafeteria
61,Café Canela,3.6,7 comentários,"Av. Dom Luís, 1233 - Aldeota, Fortaleza - CE, 60160-110",Café,,cafeteria
62,Akele Café,4.9,34 comentários,"R. Lídia Brígido, 857 - loja 2 - Parque Manibura, Fortaleza - CE, 60821-800",Cafeteria,,cafeteria
63,Lis Café,5.0,Um comentário,"R. Gonçalves Lêdo, 1226 - Centro, Fortaleza - CE, 60060-325",Cafeteria,,cafeteria
64,Atelier 1913 Cafés Especiais,4.6,47 comentários,"R. Antônio Augusto, 744 - Meireles, Fortaleza - CE, 60110-370",Cafeteria,,cafeteria
65,Casa do Pão de Queijo RioMar,4.0,29 comentários,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Café,,cafeteria
66,Santa Maria Café,2.0,4 comentários,"Av. Pontes Vieira, 2531 - São João do Tauape, Fortaleza - CE, 60130-241",Cafeteria,,cafeteria
67,Coffe America,,,"Av. Washington Soares - Edson Queiroz, Fortaleza - CE, 60811-341",,,cafeteria
68,B.LEM,4.4,299 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",$$,10 min,cafeteria
69,Vintage Coffee,,,"R. Joaquim Lima, n:2264 - Papicu, Fortaleza - CE, 60175-005",,,cafeteria
70,Consulado Café,4.3,1.399 comentários,"Av. Bezerra de Menezes, 216 - Farias Brito, Fortaleza - CE, 60325-000",$$,,cafeteria
71,Benévolo Café e Gelato,4.5,744 comentários,"Av. Monsenhor Tabosa, 688 - Centro, Fortaleza - CE, 60165-010",$$,"30 min a 1,5 h",cafeteria
72,Vai Café,4.4,14 comentários,"Av. Santos Dumont, 2626 - loja 01 - Meireles, Fortaleza - CE, 60150-161",Cafeteria,,cafeteria
73,Grão Café e Bistrô,4.0,8 comentários,"R. Joaquim Nabuco, 2829 - Dionísio Torres, Fortaleza - CE, 60125-121",Restaurante,,cafeteria
74,Novo Café,3.3,6 comentários,"R. João Carvalho, 800 - Aldeota, Fortaleza - CE, 60140-140",Café,,cafeteria
75,Don Cookies Coffee House,4.9,14 comentários,"Rua Felino Barroso, 1001 - Fátima, Fortaleza - CE, 60050-130",Cafeteria,20 min a 1 h,cafeteria
76,Café Conceito Bar,5.0,Um comentário,"Av. Beira Mar, 3958 - Praia de Iracema, Fortaleza - CE, 60060-610",Cafeteria,,cafeteria
77,Rose's Cafeteria & Restaurante,4.8,18 comentários,"R. Pedro Borges, 33 - Loja 01 - Centro, Fortaleza - CE, 60055-120",Cafeteria,25 min a 1 h,cafeteria
78,Chez Café,4.5,366 comentários,"Av. Viena Weyne, 330 - Cambeba, Fortaleza - CE, 60822-180",$$,,cafeteria
79,Cafeteria Santa Clara Luíza Távora,4.5,380 comentários,"Av. Santos Dumont, 1589 - Aldeota, Fortaleza - CE, 60160-150",Cafeteria,1-2 horas,cafeteria
80,Cafe Liguria,5.0,Um comentário,"Av. Santos Dumont - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,,cafeteria
81,Salpetrier Café,4.9,29 comentários,"Edifício Scopa Platinum Ao lado da Selfit - Av. Santos Dumont, 1650 - Aldeota, Fortaleza - CE, 60115-191",Cafeteria,,cafeteria
82,Pâine Panificação Artesanal,,,"R. Castro Monte, 899 - Varjota, Fortaleza - CE, 60230-175",$$,15 min a 1 h,cafeteria
83,Central Coffee,5.0,Um comentário,"Av. Dom Luís, 300 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,,cafeteria
84,Café Iracema,4.0,4 comentários,"R. Liberato Barroso, SN - Centro, Fortaleza - CE, 60030-160",Cafeteria,,cafeteria
85,Vonet Patisserie e Cafeteria,5.0,3 comentários,"R. Joaquim Tôrres, 298 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-130",Cafeteria,,cafeteria
86,Cafeteria La Perla,5.0,Um comentário,"R. Gen. Clarindo de Queiroz, 1745 - Box 383 - Centro, Fortaleza - CE, 60015-221",Cafeteria,,cafeteria
87,Pâine croissanterie,4.2,27 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",Cafeteria,10 min,cafeteria
88,Café Portugal,5.0,Um comentário,"R. Osvaldo Cruz - Aldeota, Fortaleza - CE, 60140-155",Café,,cafeteria
89,Bauducco,3.8,13 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",$$,15 min,cafeteria
90,cafeteria arte de comer,5.0,2 comentários,"R. Frei Humberto - Farias Brito, Fortaleza - CE, 60010-815",Cafeteria,,cafeteria
91,The Coffee,4.8,45 comentários,"Av. Santos Dumont, 1788 - L04 - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,,cafeteria
92,Bacio di Latte - Shopping Riomar Fortaleza,3.2,13 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,15 min,cafeteria
93,Empório da Tapioca,4.3,246 comentários,"Rua Professor Dias da Rocha, 800 - Aldeota, Fortaleza - CE, 60170-285",Cafeteria,10 min,cafeteria
94,Sh82 Café,5.0,10 comentários,"R. Floriano Peixoto, 1375 B - Centro, Fortaleza - CE, 60025-130",Cafeteria,,cafeteria
95,Dona Rocilda- Cafeteria e Doceria,4.8,31 comentários,"Av. Pres. Castelo Branco, 2031a - Jacarecanga, Fortaleza - CE, 60312-060",Cafeteria,,cafeteria
96,Padaria e Confeitaria Vovó Joana - Cocó,4.5,3.456 comentários,"Rua Dr. Francisco Matos, 279 - Cocó, Fortaleza - CE, 60176-130",$$,20 min,cafeteria
97,Montmarttre (Varjota),4.5,1.665 comentários,"Av. Júlio Abreu, 175 - Varjota, Fortaleza - CE, 60160-240",$$,15-45 min,cafeteria
98,Saci Pê Tabacaria e Café,4.6,15 comentários,"Av. Monsenhor Tabosa, 314 - Praia de Iracema, Fortaleza - CE, 60165-010",Cafeteria,15-45 min,cafeteria
99,Go Coffee Abolição,4.4,25 comentários,"Av. da Abolição, 2019 - Loja 07 - Meireles, Fortaleza - CE, 60165-075",Cafeteria,,cafeteria
100,Confeitaria Le Chica,4.6,230 comentários,"R. Guilherme Rocha, 1670 - Centro, Fortaleza - CE, 60030-141",$$,25 min,cafeteria
101,Jardins Café Fortaleza,4.6,50 comentários,"Rua Professor Nogueira, 300 A - Parque Araxá, Fortaleza - CE, 60450-520",Cafeteria,"1-2,5 horas",cafeteria
102,Flôr do Café Confeitaria,4.6,176 comentários,"R. Rodrigues Júnior, 996 - Centro, Fortaleza - CE, 60060-000",Confeitaria,10 min,cafeteria
103,Tiamate Coffee Aldeota,5.0,23 comentários,"Rua Padre Valdevino, 1801 - Loja 5 - Aldeota, Fortaleza - CE, 60135-041",Cafeteria,,cafeteria
104,Dom Kidrack'S Cafeteria,4.1,13 comentários,"Av. Duque de Caxias, 1747 - Centro, Fortaleza - CE, 60035-111",$,,cafeteria
105,Zelig Café Pinacoteca,,,"Rua 24 de Maio, 34 - Centro, Fortaleza - CE, 60030-000",,,cafeteria
106,Le pain Le café,,,"R. Sen. Pompeu - Fortaleza, CE, 60025-001",,,cafeteria
107,Café Ilha,4.6,38 comentários,"R. dos Cariris, 43 - Térreo - Praia de Iracema, Fortaleza - CE, 60060-230",Cafeteria,"30 min a 1,5 h",cafeteria
108,Café Arretado,3.7,35 comentários,"R. Carapinima, 2200 - Benfica, Fortaleza - CE, 60015-290",Cafeteria,15 min,cafeteria
109,Los locos coffee,5.0,4 comentários,"R. Floriano Peixoto - Centro, Fortaleza - CE, 60025-130",Cafeteria,,cafeteria
110,Padoca Les Roches,4.6,485 comentários,"Parque Manibura, Fortaleza - CE, 60810-350",$$,15 min a 1 h,cafeteria
111,Santa Maria Café,2.8,36 comentários,"(Dentro do Hospital São Camilo) 280, R. Nogueira Acioli - Centro, Fortaleza - CE",Cafeteria,,cafeteria
112,Emporio do Edu,,,"Rua Nossa Senhora da Piedade, 11 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-492",,,cafeteria
113,Cafeteria deliciosa torta,,,"Av. Washington Soares, 747 - Edson Queiroz, Fortaleza - CE, 60811-440",,,cafeteria
114,The Coffee,4.8,59 comentários,"Av. Beira Mar, 840 - Praia de Iracema, Fortaleza - CE, 60060-610",Cafeteria,25 min a 1 h,cafeteria
115,Tapiocaria da Bena,4.8,71 comentários,"Rua Santo Antônio, 20 - Benfica, Fortaleza - CE, 60020-090",$,,cafeteria
116,Caffee Lounge,3.6,13 comentários,"Av. Sgt. Hermínio Sampaio, 3100 - Pres. Kennedy, Fortaleza - CE, 60320-504",Cafeteria,,cafeteria
117,Fettuccine's Massas & Café,5.0,3 comentários,"Rua Padre Luís Figueira, 10 - Aldeota, Fortaleza - CE, 60150-120",Cafeteria,,cafeteria
118,Empório Del Quartiere,4.5,428 comentários,"R. Jaime Pinheiro, 177 - Guararapes, Fortaleza - CE, 60810-250",$$,10 min a 1 h,cafeteria
119,Café Entalpia - Bairro de Fátima (Cafeteria Temática),5.0,9 comentários,"Av. Aguanambi, 1280 - Loja 5 - Fátima, Fortaleza - CE, 60050-220",Cafeteria,,cafeteria
120,"Uritu Cafés Especiais: Cafés, Utensílios, Empório, Centro, Fortaleza",4.9,51 comentários,"Rua Dona Leopoldina, 396 - Centro, Fortaleza - CE, 60110-000",Atacadista de café,15 min a 1 h,cafeteria
121,Coffee cake,,,"Av. Aguanambi, 1447 - Fátima, Fortaleza - CE, 60055-401",,,cafeteria
122,The Coffee,,,"Av. Washington Soares, 4352 - Loja 04 - Parque Manibura, Fortaleza - CE, 60821-750",,,cafeteria
123,Valdemar,,,"R. Pedro Pereira - Centro, Fortaleza - CE, 60020-030",,,cafeteria
124,Café de Oyá,5.0,3 comentários,"R. Manuelito Moreira, 96 - Benfica, Fortaleza - CE, 60025-210",Bar,,cafeteria
125,Cafeteria Club Café Rituais - Aeroporto Internacional de Fortaleza,3.8,4 comentários,"Av. Senador Carlos Jereissati, 3000 - Serrinha, Fortaleza - CE, 60741-900",Cafeteria,,cafeteria
126,"Matte & Cia, mate e cia, massas, cafes , caldos, DD Lanches",5.0,3 comentários,"R. Floriano Peixoto - Centro, Fortaleza - CE, 60025-130",Lanchonete,,cafeteria
127,Bacio di Latte - Shopping Iguatemi Fortaleza,4.5,180 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",$$$,15 min,cafeteria
128,Fortaleza,,,"R. Cararú, 04 - Sabiaguaba, Fortaleza - CE, 60835-305",,,cafeteria
129,Cafè Dos Reis,,,"Av. Washington Soares, 4294 - Edson Queiroz, Fortaleza - CE, 60810-350",,,cafeteria
130,Bellanches,4.4,45 comentários,"R. Castro e Silva, 780 - Centro, Fortaleza - CE, 60030-010",Café,,cafeteria
131,Tapiocariabia,,,"R. Pedro Pereira, 1592 - Centro, Fortaleza - CE, 60035-001",,,cafeteria
132,Cookie Mania Bairro De Fátima,4.8,38 comentários,"Av. Deputado Oswaldo Studart, 40a - Fátima, Fortaleza - CE, 60411-260",Cafeteria,15-45 min,cafeteria
133,Café do Bigode,4.8,4 comentários,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161",Loja,,cafeteria
134,Cafeteria Club Café Santa Clara Reserva da Família - Aeroporto Internacional de Fortaleza,5.0,2 comentários,"Terminal, Av. Senador Carlos Jereissati, 3000 - Serrinha, Fortaleza - CE, 60741-900",Cafeteria,,cafeteria
135,Café Viriato,4.4,49 comentários,"R. Osvaldo Cruz, 2828 - Dionísio Torres, Fortaleza - CE, 60125-151",Restaurante,"1-2,5 horas",cafeteria
136,Cafeteria Rituais - Club Café,5.0,Um comentário,"R. Des. Lauro Nogueira, 1500 Livraria Cultura RioMar Fortaleza (2° Piso - Papicu, Fortaleza - CE, 60175-055",Cafeteria,,cafeteria
137,Padaria Evandro Delicatessen,4.6,1.212 comentários,"R. Carlos Vasconcelos, 2169 - Aldeota, Fortaleza - CE, 60115-171",$,10-45 min,cafeteria
138,Jardim Café,5.0,Um comentário,"R. Nogueira Acioli, 891 - Aldeota, Fortaleza - CE, 60110-140",Café,,cafeteria
139,Cafe GGVP,,,"Av. Desembargador Moreira, 1800 - Aldeota, Fortaleza - CE, 60170-002",,,cafeteria
140,Bless café & açaí,5.0,4 comentários,"R. Soriano Albuquerque, 62 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60040-470",Cafeteria,,cafeteria
141,Lanches,4.5,2 comentários,"R. da Assunção, 25 - Centro, Fortaleza - CE, 60050-010",Cafeteria,,cafeteria
142,Conveniência Vip Service,4.5,2 comentários,"R. Barão do Rio Branco, 1385 - Centro, Fortaleza - CE, 60025-061",Cafeteria,,cafeteria
143,Santa Maria Gourmet,3.6,31 comentários,"Dentro do Hospital Otoclinica - Joaquim Távora (Fortaleza), Fortaleza - CE",Cafeteria,,cafeteria
144,Go Coffee - Dom Luis,4.1,14 comentários,"Av. Júlio Abreu, 120 - loja 5 - Meireles, Fortaleza - CE, 60160-240",Café,,cafeteria
145,Padaria Romana Delicatessen,4.3,3.000 comentários,"Av. Treze de Maio, 901 - Fátima, Fortaleza - CE, 60040-531",$$,25 min,cafeteria
146,Tony Machine,,,"Avenida Imperador, 1060 - Centro, Fortaleza - CE, 60015-050",,,cafeteria
147,Cafeteria Família Café,5.0,4 comentários,"R. Rosinha Sampaio, 1869 - Quintino Cunha, Fortaleza - CE, 60346-251",Cafeteria,,cafeteria
148,Bom Café Brasil,5.0,28 comentários,"R. da Assunção, 912 - José Bonifacio, Fortaleza - CE, 60420-430",Torrefação de café,,cafeteria
149,Tapioca & Cia,3.4,5 comentários,"R. Gen. Clarindo de Queiroz, 1745 - Centro, Fortaleza - CE, 60015-221",Cafeteria,,cafeteria
150,"Coffee, Love & Friends",,,"Somente Delivery - R. Máximo Linhares, 310 - Cidade dos Funcionários, Fortaleza - CE, 60822-482","Loja de cestas de presente em Fortaleza, Ceará",,cafeteria
151,Café Solar Fortaleza,4.8,20 comentários,"R. Leonardo Mota, 295 - Meireles, Fortaleza - CE, 60160-110",Cafeteria,,cafeteria
152,Madocinhos,5.0,3 comentários,"Rua Governador Sampaio - Centro, Fortaleza - CE, 60055-050",Lanchonete,,cafeteria
153,Tortelê,,,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",,,cafeteria
154,Le Pain Le Café Boulangerie,4.5,180 comentários,"R. Monsenhor Catão, 1430 - Aldeota, Fortaleza - CE, 60175-000",Cafeteria,,cafeteria
155,Catarina Cafe,5.0,42 comentários,"Av. Eng. Santana Jr., 999 - Papicu, Fortaleza - CE, 60175-652",Cafeteria,,cafeteria
156,Panebox Gourmet (Fátima),4.3,1.192 comentários,"Rua Monsenhor Otávio de Castro, 582 - Fátima, Fortaleza - CE, 60050-150",$$,20 min,cafeteria
157,Le Caféine,,,"Av Santos Dumont 3130 Quiosque 102, Piso 1, Fortaleza - CE, 60150-162",,,cafeteria
158,Ponto do Guaraná e Cafeteria,5.0,3 comentários,"R. Barão de Aracati, 886 - Aldeota, Fortaleza - CE, 60115-081",Lanchonete,,cafeteria
159,Moncloa Tea Boutique,4.8,20 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",Loja de chás,,cafeteria
160,Sablé Diamant,4.6,1.073 comentários,"Rua Dr. José Lourenço, 1414 - Aldeota, Fortaleza - CE, 60115-280",$$$,,cafeteria
161,JN Bolos e Confeitaria,,,"Rua Solon Pinheiro, 180 - Centro, Fortaleza - CE, 60050-040",,,cafeteria
162,Espaço Vida Saudável Fit Lounge Bem Fica,4.9,14 comentários,"R. da Assunção, 1189 - José Bonifacio, Fortaleza - CE, 60050-011",Casa de chá tradicional,,cafeteria
163,Mais1 Café - Fortaleza,4.8,22 comentários,"R. Vicente Leite, 876 - Meireles, Fortaleza - CE, 60170-150",Cafeteria,,cafeteria
164,Pâine Croissanterie,4.3,20 comentários,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Patisserie,,cafeteria
165,Monstera Café Cultural,5.0,3 comentários,"Av. Pontes Vieira, 417 - Dionísio Torres, Fortaleza - CE, 60130-240",Café,,cafeteria
166,Café Passeio,4.5,1.044 comentários,"Passeio Público - R. Dr. João Moreira - Centro, Fortaleza - CE, 60030-000",$$,45 min a 2 h,cafeteria
167,Vibe café,3.7,7 comentários,"Rua Manuel Queirós, 511A - Cocó, Fortaleza - CE, 60192-220",Cafeteria,,cafeteria
168,Empório Brownie,4.4,22 comentários,"R. Carapinima, 2200 - Benfica, Fortaleza - CE, 60015-290",Padaria,,cafeteria
169,CAFE CARAMELLO FORTALEZA - DISTRIBUIDORA,5.0,Um comentário,"R. Tibúrcio Cavalcante, 1675 - Meireles, Fortaleza - CE, 60125-045",Café,,cafeteria
170,Cheirim Bão,,,"Av. Santos Dumont, 3131 - Aldeota, Fortaleza - CE, 60150-162",,,cafeteria
171,D’ellas Cafeteria,4.4,8 comentários,"Rua Torres Câmara, 181 - Aldeota, Fortaleza - CE, 60150-060",Café,,cafeteria
172,Empório do Cacau Brasil,5.0,7 comentários,"R. Sen. Pompeu, 2610 - loja 17 - José Bonifacio, Fortaleza - CE, 60025-001",Cafeteria,,cafeteria
173,Café Santa Clara,,,"Av. Washington Soares, 85 - Loja 68 - Messejana, Fortaleza - CE, 60810-350",,,cafeteria
174,cafe dek porronda,,,"R. Barão do Rio Branco, 1006 - Centro, Fortaleza - CE, 60025-060",,,cafeteria
