NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID
Cafeteria deliciosa torta,,,"Av. Washington Soares, 747 - Edson Queiroz, Fortaleza - CE, 60811-440",,,cafeteria
The Coffee,4.8,59 comentários,"Av. Beira Mar, 840 - Praia de Iracema, Fortaleza - CE, 60060-610",Cafeteria,25 min a 1 h,cafeteria
Tapiocaria da Bena,4.8,71 comentários,"Rua Santo Antônio, 20 - Benfica, Fortaleza - CE, 60020-090",$,,cafeteria
Caffee Lounge,3.6,13 comentários,"Av. Sgt. Hermínio Sampaio, 3100 - Pres. Kennedy, Fortaleza - CE, 60320-504",Cafeteria,,cafeteria
Fettuccine's Massas & Café,5.0,3 comentários,"Rua Padre Luís Figueira, 10 - Aldeota, Fortaleza - CE, 60150-120",Cafeteria,,cafeteria
Empório Del Quartiere,4.5,428 comentários,"R. Jaime Pinheiro, 177 - Guararapes, Fortaleza - CE, 60810-250",$$,10 min a 1 h,cafeteria
Café Entalpia - Bairro de Fátima (Cafeteria Temática),5.0,9 comentários,"Av. Aguanambi, 1280 - Loja 5 - Fátima, Fortaleza - CE, 60050-220",Cafeteria,,cafeteria
"Uritu Cafés Especiais: Cafés, Utensílios, Empório, Centro, Fortaleza",4.9,51 comentários,"Rua Dona Leopoldina, 396 - Centro, Fortaleza - CE, 60110-000",Atacadista de café,15 min a 1 h,cafeteria
Coffee cake,,,"Av. Aguanambi, 1447 - Fátima, Fortaleza - CE, 60055-401",,,cafeteria
The Coffee,,,"Av. Washington Soares, 4352 - Loja 04 - Parque Manibura, Fortaleza - CE, 60821-750",,,cafeteria
Valdemar,,,"R. Pedro Pereira - Centro, Fortaleza - CE, 60020-030",,,cafeteria
Café de Oyá,5.0,3 comentários,"R. Manuelito Moreira, 96 - Benfica, Fortaleza - CE, 60025-210",Bar,,cafeteria
Cafeteria Club Café Rituais - Aeroporto Internacional de Fortaleza,3.8,4 comentários,"Av. Senador Carlos Jereissati, 3000 - Serrinha, Fortaleza - CE, 60741-900",Cafeteria,,cafeteria
