NOME,TIPO,ENDERECO,LOCAL,PONTUACAO,NUM_COMENTARIO,TEMPO_MIN_M,TEMPO_MAX_M,TEMPO_MIN,TEMPO_MAX,BAIRRO
Restaurante 44,Restaurante,"R. Joaquim Nabuco, 1224 - Aldeota, Fortaleza - CE, 60125-055",Restaurante,4.4,522,30.0,60.0,0 days 00:30:00,0 days 01:00:00,Aldeota
"Butcher's 746: Steakhouse, Carnes Nobres, Churrasco, Delivery, Restaurante, Fortaleza CE",Restaurante,"R. Maria Tomásia, 746 - Aldeota, Fortaleza - CE, 60150-170",Restaurante,4.6,699,120.0,120.0,0 days 02:00:00,0 days 02:00:00,Aldeota
Casa Beá Restaurante,Restaurante,"Av. Desembargador Moreira, 615 A - Meireles, Fortaleza - CE, 60170-055",Restaurante,4.3,82,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Pipo Restaurante,Restaurante,"R. Manoel Lourenço dos Santos, 399 - São João do Tauape, Fortaleza - CE, 60135-450",Restaurante,4.6,1367,0.0,0.0,0 days 00:00:00,0 days 00:00:00,São João Do Tauape
Vasto Restaurante,Restaurante,"Av. Senador Virgílio Távora, 511 - Meireles, Fortaleza - CE, 60170-251",Restaurante,4.8,374,210.0,210.0,0 days 03:30:00,0 days 03:30:00,Meireles
Madero Steak House Riomar Fortaleza,Restaurante,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Restaurante,4.5,2374,10.0,60.0,0 days 00:10:00,0 days 01:00:00,Papicu
Restaurante Lima 21 - Gastronomia Peruana,Restaurante,"Rua Silva Jatahy, 505 - Meireles, Fortaleza - CE, 60165-070",Restaurante Peruano,4.6,243,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Restaurante Mayú,Restaurante,"Senac Reference - Av. Desembargador Moreira, 1301 - 4º andar - Aldeota, Fortaleza - CE, 60170-001",Restaurante,4.9,186,180.0,180.0,0 days 03:00:00,0 days 03:00:00,Aldeota
ZOI Restaurante,Restaurante,"Av. Hermenegildo Sá Cavalcante, s/n - Edson Queiroz, Fortaleza - CE, 60811-905",Restaurante,4.6,772,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz
Tilápia Restaurante,Restaurante,"R. Eliseu Uchôa Beco, 450 - Guararapes, Fortaleza - CE, 60810-270",Restaurante,4.9,200,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Guararapes
