NOME,PONTUACAO,LOCAL,ESTABELECIMENTO,ESTABELECIMENTO,NUM_COMENTARIO,TEMPO_MIN,TEMPO_MAX
Los locos coffee,5.0,"R. Floriano Peixoto - Centro, Fortaleza - CE, 60025-130",Cafeteria,cafeteria,4,0.0,0.0
Padoca Les Roches,4.6,"Parque Manibura, Fortaleza - CE, 60810-350",$$,cafeteria,485,15.0,15.0
Santa Maria Café,2.8,"(Dentro do Hospital São Camilo) 280, R. Nogueira Acioli - Centro, Fortaleza - CE",Cafeteria,cafeteria,36,0.0,0.0
Emporio do Edu,0.0,"Rua Nossa Senhora da Piedade, 11 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-492",,cafeteria,0,0.0,0.0
Cafeteria deliciosa torta,0.0,"Av. Washington Soares, 747 - Edson Queiroz, Fortaleza - CE, 60811-440",,cafeteria,0,0.0,0.0
The Coffee,4.8,"Av. Beira Mar, 840 - Praia de Iracema, Fortaleza - CE, 60060-610",Cafeteria,cafeteria,59,25.0,25.0
Tapiocaria da Bena,4.8,"Rua Santo Antônio, 20 - Benfica, Fortaleza - CE, 60020-090",$,cafeteria,71,0.0,0.0
Caffee Lounge,3.6,"Av. Sgt. Hermínio Sampaio, 3100 - Pres. Kennedy, Fortaleza - CE, 60320-504",Cafeteria,cafeteria,13,0.0,0.0
Fettuccine's Massas & Café,5.0,"Rua Padre Luís Figueira, 10 - Aldeota, Fortaleza - CE, 60150-120",Cafeteria,cafeteria,3,0.0,0.0
Empório Del Quartiere,4.5,"R. Jaime Pinheiro, 177 - Guararapes, Fortaleza - CE, 60810-250",$$,cafeteria,428,10.0,10.0
Café Entalpia - Bairro de Fátima (Cafeteria Temática),5.0,"Av. Aguanambi, 1280 - Loja 5 - Fátima, Fortaleza - CE, 60050-220",Cafeteria,cafeteria,9,0.0,0.0
"Uritu Cafés Especiais: Cafés, Utensílios, Empório, Centro, Fortaleza",4.9,"Rua Dona Leopoldina, 396 - Centro, Fortaleza - CE, 60110-000",Atacadista de café,cafeteria,51,15.0,15.0
Coffee cake,0.0,"Av. Aguanambi, 1447 - Fátima, Fortaleza - CE, 60055-401",,cafeteria,0,0.0,0.0
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,cafeteria,584,30.0,30.0
Shopping RioMar Fortaleza,4.7,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",cafeteria,52.357,45.0,45.0
The Coffee,0.0,"Av. Washington Soares, 4352 - Loja 04 - Parque Manibura, Fortaleza - CE, 60821-750",,cafeteria,0,0.0,0.0
Valdemar,0.0,"R. Pedro Pereira - Centro, Fortaleza - CE, 60020-030",,cafeteria,0,0.0,0.0
