NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Italian Pizza Fortaleza;5.0;3 comentários;Av. Antônio Sales, 1357 - quiosque 02 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-101;Delivery de Pizza;;delivery de comida
Fisgo - Delivery de Pescados;1.0;Um comentário;Av. Antônio Justa, 2380 - Meireles, Fortaleza - CE, 60165-090;Delivery;;delivery de comida
Verdelima Restaurante;4.5;477 comentários;R. Joaquim Nabuco, 1283 - Aldeota, Fortaleza - CE, 60125-055;$$;25 min a 1 h;delivery de comida
Nhamy Nhamy Mercado Saudável;5.0;20 comentários;Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180;Restaurante;20 min a 1,5 h;delivery de comida
Larica Pizzaria;;;Av. Nila Gomes de Soárez, 403 - Cidade 2000, Fortaleza - CE, 60190-630;;;delivery de comida
Italian Pizza Fortaleza;5.0;3 comentários;Av. Antônio Sales, 1357 - quiosque 02 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-101;Delivery de Pizza;;delivery de comida
Restaurante Família e Lanchonete;;;Av. Desembargador Gonzaga, 144 - Cidade dos Funcionários, Fortaleza - CE, 60824-062;Lanchonete;;delivery de comida
Fisgo - Delivery de Pescados;1.0;Um comentário;Av. Antônio Justa, 2380 - Meireles, Fortaleza - CE, 60165-090;Delivery;;delivery de comida
Caldos & Sopas da Jane;5.0;4 comentários;Travessa São João, 6 - Mucuripe, Fortaleza - CE, 60175-510;Delivery;;delivery de comida
Restaurante Gramado Self-Service;;;R. Pedro Borges, 33 - Loja 21 - Centro, Fortaleza - CE, 60055-110;Restaurante self-service;30 min a 1 h;delivery de comida
Beef's - Sanduíche de Churrasco;4.3;12 comentários;Av. Desembargador Moreira, 2355 - Dionísio Torres, Fortaleza - CE, 60170-002;Restaurante;;delivery de comida
Donastela Massas e Recheios;3.7;3 comentários;R. Major Facundo, 897 - Centro, Fortaleza - CE, 60025-100;Restaurante italiano;;delivery de comida
Rai Lanches;3.0;2 comentários;R. Pedro Borges, 33 - Centro, Fortaleza - CE, 60055-120;Restaurante fast-food;;delivery de comida
Livremente Padaria Sem Glúten, Sem Lactose: Pão, Bolo, Delivery, Fortaleza CE;;;R. Amarílio Cartaxo, 169 - De Lourdes, Fortaleza - CE, 60177-030;Padaria;;delivery de comida
Juliana's Grill Self-Service;;;R. Barão do Rio Branco, 1396 - Centro, Fortaleza - CE, 60025-060;Restaurante self-service;25 min a 1 h;delivery de comida
Irene comida saudável;;;Alameda das cravinas, 121 Cidade 2000 Papicu - Cidade 2000, Fortaleza - CE, 60190-320;;;delivery de comida
Delivery DiFábios;5.0;Um comentário;R. Carlos Gomes, 199 - José Bonifacio, Fortaleza - CE, 60040-230;Delivery de Pizza;;delivery de comida
De Babo Restaurante;4.6;172 comentários;Rua do Rosário, 86 - Centro, Fortaleza - CE, 60135-050;Restaurante;;delivery de comida
Fino Sabor;;;R. J da Penha, 421 - Centro, Fortaleza - CE, 60110-120;$$;;delivery de comida
Q do Q Self Service Salgados e Lanches;3.0;2 comentários;Rua General Tertuliano Potiguara, 297 - Aldeota, Fortaleza - CE, 60135-280;Restaurante self-service;;delivery de comida
